_dbt_source_relation,ss_id,prev_ss_id,organization_id,connector_type,asset_type,asset_id,import_time,asset_hostname,asset_operating_systems,asset_ipv4,asset_device_type,vuln_cves,vuln_cvss3_base_score,vuln_cvss_base_score,vuln_description,vuln_exploit_available,vuln_risk_factor,vuln_name,vuln_port,vuln_id,vuln_remediation,vuln_severity,finding_priority,severity_modification_type,first_seen_at,last_seen_at,finding_state,asset_operating_system_version,asset_fqdn,finding_url,location_url,vuln_labels
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:168982-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:168982,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-13 15:31:19.453325,ip-172-31-18-222,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",172.31.18.222,aws-ec2-instance,null,null,null,"This Tenable product detected files or paths on the scanned Unix-like system which contain characters with command injection or privilege escalation potential. Although almost any character is valid for an entry in this kind of filesystem, such as semicolons, use of some of them may lead to problems or security compromise when used in further commands.\n\nThis product has chosen in certain plugins to avoid digging within those files and directories for security reasons.\nThese should be renamed to avoid security compromise.",false,Info,Filepaths contain Dangerous characters (Linux),22,168982,Rename these files or folders to not include dangerous characters.,info,P4,NONE,2023-03-08 17:09:42.561,2023-05-04 16:10:31.527,closed,null,ip-172-31-18-222.us-west-1.compute.internal,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/168982/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:171410-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:171410,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-01 10:01:35.796267,i-0ba626a6d4203bdcd,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",null,general-purpose,null,0.0,0.0,Enumerates the IP address assignment method(static/dynamic).,false,None,IP Assignment Method Detection,0,171410,N/A,info,P4,NONE,2023-02-15 17:09:21.356,2023-05-31 16:10:52.818,open,null,i-0ba626a6d4203bdcd,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/171410/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:95928-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:95928,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-01 10:01:35.796267,i-0ba626a6d4203bdcd,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",null,general-purpose,null,0.0,0.0,"Using the supplied credentials, Nessus was able to enumerate the local users and groups on the remote host.",false,None,Linux User List Enumeration,0,95928,None,info,P4,NONE,2022-05-26 16:09:39.714,2023-05-31 16:10:52.818,open,null,i-0ba626a6d4203bdcd,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/95928/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:117887-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:117887,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-01 10:01:35.796267,i-0ba626a6d4203bdcd,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",null,general-purpose,null,0.0,0.0,Nessus was able to determine OS security patch levels by logging into the remote host and running commands to determine the version of the operating system and its components.  The remote host was identified as an operating system or device that Nessus supports for patch and update assessment.  The necessary information was obtained to perform these checks.,false,None,OS Security Patch Assessment Available,0,117887,N/A,info,P4,NONE,2022-05-26 16:09:39.714,2023-05-31 16:10:52.818,open,null,i-0ba626a6d4203bdcd,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/117887/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:163326-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:163326,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-13 15:31:19.453325,ip-172-31-18-222,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",172.31.18.222,aws-ec2-instance,null,null,null,Tenable Nessus is installed on the remote Linux host.,false,Info,Tenable Nessus Installed (Linux),0,163326,null,info,P4,NONE,2022-07-22 16:08:34.812,2023-06-12 16:11:29.902,unknown,null,ip-172-31-18-222.us-west-1.compute.internal,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/163326/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:168980-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:168980,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-01 10:01:35.796267,i-0ba626a6d4203bdcd,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",null,general-purpose,null,0.0,0.0,Enumerates the PATH variables of the current scan user.,false,None,Enumerate the PATH Variables,0,168980,Ensure that directories listed here are in line with corporate policy.,info,P4,NONE,2022-12-22 17:09:33.123,2023-05-31 16:10:52.818,open,null,i-0ba626a6d4203bdcd,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/168980/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:166602-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:166602,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-01 10:01:35.796267,i-0ba626a6d4203bdcd,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",null,general-purpose,null,0.0,0.0,Report Fully Qualified Domain Name (FQDN) for the remote host.,false,None,Asset Attribute: Fully Qualified Domain Name (FQDN),0,166602,N/A,info,P4,NONE,2022-10-28 16:09:25.588,2023-05-31 16:10:52.818,open,null,i-0ba626a6d4203bdcd,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/166602/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:168007-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:168007,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-13 15:31:19.453325,ip-172-31-18-222,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",172.31.18.222,aws-ec2-instance,null,null,null,OpenSSL was detected on the remote Linux host.,false,Info,OpenSSL Installed (Linux),0,168007,null,info,P4,NONE,2022-11-22 17:09:35.152,2023-03-27 16:09:51.953,closed,null,ip-172-31-18-222.us-west-1.compute.internal,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/168007/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:55472-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:55472,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-01 10:01:35.796267,i-0ba626a6d4203bdcd,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",null,general-purpose,null,0.0,0.0,This plugin reports a device's hostname collected via SSH or WMI.,false,None,Device Hostname,0,55472,N/A,info,P4,NONE,2022-05-26 16:09:39.714,2023-05-31 16:10:52.818,open,null,i-0ba626a6d4203bdcd,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/55472/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
"""production"".""org_demo_env"".""stg_tenable_asset_vuln""",tenable-vm_vulns:11936-68899602-55c0-492e-b087-7ca7c894d3fb:tenable-vm_assets:68899602-55c0-492e-b087-7ca7c894d3fb,68899602-55c0-492e-b087-7ca7c894d3fb:11936,demo_env,tenable-vm,machine,68899602-55c0-492e-b087-7ca7c894d3fb,2023-06-01 10:01:35.796267,i-0ba626a6d4203bdcd,"[""Linux Kernel 4.14.287-148.504.amzn1.x86_64 on Amazon Linux AMI""]",null,general-purpose,null,0.0,0.0,"Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP, SNMP, etc.), it is possible to guess the name of the remote operating system in use. It is also possible sometimes to guess the version of the operating system.",false,None,OS Identification,0,11936,N/A,info,P4,NONE,2022-05-26 16:09:39.714,2023-05-31 16:10:52.818,open,null,i-0ba626a6d4203bdcd,https://cloud.tenable.com/tio/app.html#/vulnerability-management/dashboard/vulnerabilities/by-plugins/vulnerability-details/11936/assets_affected/asset-details/68899602-55c0-492e-b087-7ca7c894d3fb/activity,null,null
