cve,sourceidentifier,published,lastmodified,vulnstatus,description,cvssmetricv31_source,cvssmetricv31_type,cvssmetricv31_version,cvssmetricv31_vectorstring,cvssmetricv31_attackvector,cvssmetricv31_attackcomplexity,cvssmetricv31_privilegesrequired,cvssmetricv31_userinteraction,cvssmetricv31_scope,cvssmetricv31_confidentialityimpact,cvssmetricv31_integrityimpact,cvssmetricv31_availabilityimpact,cvssmetricv31_basescore,cvssmetricv31_baseseverity,cvssmetricv31_exploitabilityscore,cvssmetricv31_impactscore,cvssmetricv2_source,cvssmetricv2_type,cvssmetricv2_version,cvssmetricv2_vectorstring,cvssmetricv2_attackvector,cvssmetricv2_attackcomplexity,cvssmetricv2_privilegesrequired,cvssmetricv2_userinteraction,cvssmetricv2_scope,cvssmetricv2_confidentialityimpact,cvssmetricv2_integrityimpact,cvssmetricv2_availabilityimpact,cvssmetricv2_basescore,cvssmetricv2_baseseverity,cvssmetricv2_exploitabilityscore,cvssmetricv2_impactscore
CVE-1999-0095,cve@mitre.org,1988-10-01T04:00:00.000,2019-06-11T20:29:00.263,Modified,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-1999-0082,cve@mitre.org,1988-11-11T05:00:00.000,2008-09-09T12:33:40.853,Analyzed,CWD ~root command in ftpd allows root access.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-1999-1471,cve@mitre.org,1989-01-01T05:00:00.000,2008-09-05T20:19:36.257,Analyzed,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-1999-1122,cve@mitre.org,1989-07-26T04:00:00.000,2018-05-03T01:29:04.817,Modified,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
CVE-1999-1467,cve@mitre.org,1989-10-26T04:00:00.000,2017-12-19T02:29:08.393,Modified,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,10,HIGH,10,10
CVE-1999-1506,cve@mitre.org,1990-01-29T05:00:00.000,2008-09-05T20:19:41.257,Analyzed,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-1999-0084,cve@mitre.org,1990-05-01T04:00:00.000,2017-10-10T01:29:00.387,Modified,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-2000-0388,cve@mitre.org,1990-05-09T04:00:00.000,2008-09-10T19:04:33.930,Analyzed,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,7.5,HIGH,10,6.4
CVE-1999-0209,cve@mitre.org,1990-08-14T04:00:00.000,2008-09-09T12:34:01.117,Analyzed,The SunView (SunTools) selection_svc facility allows remote users to read files.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,null,null,null,null,null,PARTIAL,NONE,NONE,5,MEDIUM,10,2.9
CVE-1999-1198,cve@mitre.org,1990-10-03T04:00:00.000,2008-09-05T20:18:57.260,Analyzed,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-1999-1391,cve@mitre.org,1990-10-03T04:00:00.000,2008-09-05T20:19:24.600,Analyzed,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-1999-1392,cve@mitre.org,1990-10-03T04:00:00.000,2008-09-05T20:19:24.740,Analyzed,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,null,null,null,null,null,COMPLETE,COMPLETE,COMPLETE,7.2,HIGH,3.9,10
CVE-1999-1057,cve@mitre.org,1990-10-25T04:00:00.000,2008-09-05T20:18:37.230,Analyzed,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,nvd@nist.gov,Primary,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,null,null,null,null,null,PARTIAL,PARTIAL,PARTIAL,4.6,MEDIUM,3.9,6.4
